"location_id","date_utc","hour_utc","date_local","hour_local","consumption","baseline","erasing","status","extra"
"5721","2022-01-04T00:00:00Z","23","2022-01-04T00:00:00Z","18","0.234025","1.9493669","1.7153419","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-05T00:00:41.5185185Z""}}"
"3209","2022-01-04T00:00:00Z","14","2022-01-04T00:00:00Z","9","0.80241","3.572908","2.7704978","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T15:00:01.5685321Z""}}"
"5721","2022-01-04T00:00:00Z","14","2022-01-04T00:00:00Z","9","1.3411484","2.6092238","1.2680755","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T15:00:04.4207559Z""}}"
"3209","2022-01-04T00:00:00Z","13","2022-01-04T00:00:00Z","8","0.73640335","3.655873","2.9194698","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T14:00:00.2571693Z""}}"
"5721","2022-01-04T00:00:00Z","13","2022-01-04T00:00:00Z","8","1.7269183","3.1504197","1.4235014","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T14:00:00.3609588Z""}}"
"3209","2022-01-04T00:00:00Z","11","2022-01-04T00:00:00Z","6","1.3090295","3.6144762","2.3054466","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T11:59:57.2126476Z""}}"
"5721","2022-01-04T00:00:00Z","10","2022-01-04T00:00:00Z","5","4.4705033","2.4471507","-2.0233526","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T11:00:46.8958135Z""}}"
"5721","2022-01-04T00:00:00Z","11","2022-01-04T00:00:00Z","6","2.8459616","3.5299716","0.68401","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T12:00:53.0343769Z""}}"
"3209","2022-01-04T00:00:00Z","10","2022-01-04T00:00:00Z","5","5.8604703","3.5496187","-2.3108516","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T11:00:56.0216556Z""}}"
"5721","2022-01-04T00:00:00Z","9","2022-01-04T00:00:00Z","4","4.89664","2.3350117","-2.561628","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T10:00:43.8031377Z""}}"
"3209","2022-01-04T00:00:00Z","9","2022-01-04T00:00:00Z","4","5.1445866","3.535997","-1.6085896","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T10:00:54.8741383Z""}}"
"5721","2022-01-04T00:00:00Z","17","2022-01-04T00:00:00Z","12","2.9591594","2.6121082","-0.34705114","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T19:00:22.5927878Z""}}"
"5721","2022-01-04T00:00:00Z","18","2022-01-04T00:00:00Z","13","2.8201857","3.1672368","0.34705114","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T19:00:22.6208860Z""}}"
"3209","2022-01-04T00:00:00Z","12","2022-01-04T00:00:00Z","7","3.3774967","3.6563625","0.2788658","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T12:59:58.9516253Z""}}"
"5721","2022-01-04T00:00:00Z","12","2022-01-04T00:00:00Z","7","1.6994083","3.3668342","1.6674259","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T13:00:57.0074149Z""}}"
"5721","2022-01-04T00:00:00Z","5","2022-01-04T00:00:00Z","0","2.101475","2.2802944","0.17881942","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T09:00:40.0210280Z""}}"
"5721","2022-01-04T00:00:00Z","6","2022-01-04T00:00:00Z","1","2.7926283","2.3824463","-0.410182","Ok","{""utc_offset_in_hours"":-5,""location_type"":""residential"",""time_zone"":""America/Toronto"",""historic"":{""processor"":""vpp-consumption-observer"",""timestamp"":""2022-01-04T09:00:40.0420353Z""}}"
